PRICE,LAND AREA,ROAD ACCESS,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITY_PARKING,LOCATION_Kathmandu,LOCATION_Lalitpur,AMENITY_MARBEL,AMENITY_PARQUET,AMENITY_DRINKING_WATER,AMENITY_MODULAR_KITCHEN,AMENITY_GARDEN,AMENITY_DRAINAGE,AMENITY_POWER_BACKUP,AMENITY_RESERVE_TANK,AMENITY_WATER_WELL
30000000,4.2,14.0,2.5,5.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
26000000,3.0,20.0,2.0,5.0,3.0,2064,1,0,1,1,1,1,0,0,1,1,1,0
25500000,3.0,12.0,3.5,5.0,5.0,2070,1,1,0,1,1,1,0,0,1,1,1,0
50000000,8.0,20.0,2.5,5.0,3.0,2074,1,1,0,0,0,1,0,0,1,1,1,0
33000000,5.2,13.0,2.5,4.0,4.0,2070,1,1,0,1,1,1,1,0,0,1,1,0
16000000,2.2,13.0,2.5,4.0,4.0,2070,1,1,0,1,1,1,0,0,1,1,1,0
32500000,4.0,13.0,2.5,5.0,4.0,2065,1,1,0,1,1,1,0,0,1,1,1,0
39000000,5.2,20.0,2.5,5.0,6.0,2059,1,1,0,1,0,0,1,0,0,0,0,0
55000000,9.0,13.0,2.5,6.0,3.0,2069,1,0,1,1,1,1,0,0,1,1,1,0
42500000,4.2,16.0,2.5,5.0,4.0,2079,1,0,1,1,1,1,0,0,1,1,1,0
31000000,4.0,13.0,2.5,4.0,3.0,2079,1,0,1,1,1,1,0,0,1,1,1,0
35000000,5.0,13.0,2.5,5.0,3.0,2076,1,1,0,1,1,1,0,1,1,0,0,0
37000000,3.2,20.0,2.5,4.0,4.0,2055,1,1,0,1,0,1,1,0,0,1,1,0
28500000,3.0,13.0,2.5,6.0,4.0,2070,1,0,1,1,1,1,0,0,1,1,0,0
36500000,4.0,13.0,3.0,7.0,4.0,2072,1,0,1,1,1,1,0,0,1,1,1,0
33000000,3.2,13.0,2.5,6.0,4.0,2079,1,1,0,1,1,1,0,1,1,1,0,0
62500000,6.0,20.0,2.0,5.0,7.0,2055,1,1,0,0,0,0,1,1,1,0,0,0
75000000,8.0,13.0,2.5,7.0,6.0,2072,1,1,0,1,0,0,1,0,0,0,0,0
35000000,3.1,30.0,2.5,3.0,3.0,2069,1,0,1,1,1,1,0,0,0,1,1,0
31000000,3.2,13.0,2.5,4.0,4.0,2069,1,0,1,1,1,1,0,0,1,1,1,0
23500000,3.0,13.0,3.0,6.0,3.0,2079,1,0,1,1,1,1,0,0,1,1,1,0
29500000,3.0,13.0,3.5,4.0,4.0,2079,1,0,1,1,1,1,0,0,1,1,1,0
46500000,5.0,13.0,3.5,6.0,4.0,2076,1,1,0,1,1,1,1,0,1,1,0,0
31500000,4.0,13.0,3.0,6.0,6.0,2073,1,1,0,1,1,1,0,0,1,1,1,0
15000000,4.0,20.0,2.0,5.0,2.0,2076,1,1,0,1,0,1,0,1,1,1,1,0
22500000,9.0,13.0,2.0,2.0,2.0,2072,1,1,0,1,0,1,0,0,1,1,1,0
19000000,2.3,13.0,2.5,4.0,4.0,2079,1,0,1,1,1,1,0,0,0,1,1,0
31000000,3.3,13.0,2.5,4.0,4.0,2055,1,0,1,0,1,1,0,0,1,1,1,0
43500000,4.2,20.0,2.5,4.0,4.0,2072,1,0,1,0,0,1,0,1,0,0,0,0
31000000,4.0,13.0,3.0,5.0,4.0,2072,1,0,1,1,1,1,0,0,1,1,1,0
55000000,6.0,20.0,2.5,6.0,3.0,2073,1,1,0,1,1,1,0,1,1,1,0,0
60000000,7.1,12.0,5.0,10.0,6.0,2076,1,1,0,1,0,1,1,0,1,1,1,0
28000000,3.0,13.0,2.5,5.0,4.0,2069,1,0,1,1,1,1,0,0,1,1,1,0
27500000,3.1,13.0,3.0,6.0,5.0,2078,1,0,1,1,1,1,0,0,1,1,1,0
29500000,3.2,13.0,2.5,5.0,4.0,2073,1,0,1,1,0,1,0,0,1,1,0,0
19500000,2.3,23.0,3.0,5.0,6.0,2076,1,0,1,0,1,1,0,0,1,1,0,0
27000000,3.2,13.0,2.5,5.0,4.0,2061,1,0,1,1,0,1,0,0,1,1,1,0
28000000,4.0,16.0,2.5,6.0,4.0,2069,1,0,1,1,1,1,0,0,0,1,1,0
29000000,3.0,14.0,2.5,3.0,3.0,2071,1,0,1,1,1,1,0,0,0,1,1,0
29000000,3.2,13.0,3.0,5.0,5.0,2079,1,0,1,1,1,1,0,0,1,1,1,0
