TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
4 BHK House for Sale,"Sanepa, Lalitpur",Rs. 3.50 Cr,5.0 aana,,19 Feet,North-West,2.5,4.0,3.0,2075 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drinking Water', 'Terrace', 'Parking', 'Fridge', 'Sofa', 'MiCrowave', 'Iron', 'Power Backup']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr ,4.0 aana,,18 Feet,North-East,2.5,4.0,5.0,2076 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Solar', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Fridge', 'Sofa']"
Bungalow House for Sale,"Nakhipot, Lalitpur",Rs. 6 Cr ,7.0 aana,,13 Feet,East,2.5,5.0,3.0,2076 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Solar', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Water Purifier', 'MiCrowave']"
4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.5 aana,,12 Feet,West,2.5,4.0,4.0,2071 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Iron', 'MiCrowave', 'Closet', 'Sofa']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.7 Cr ,3.3 aana,,12 Feet,East,2.0,5.0,4.0,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drainage', 'MiCrowave', 'Power Backup', 'Iron']"
Bungalow House for Sale,"Gwarko, Lalitpur",Rs. 2.75 Cr ,3.0 aana,,12 Feet,North,2.5,5.0,4.0,2074 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Closet', 'Modular Kitchen', 'Bed Room', 'Dining Room', 'Guest Room']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 11 Cr ,11.0 aana,,16 Feet,South-East,2.5,5.0,5.0,2077 B.S,4 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Drainage', 'Solar', 'Parking', 'Terrace', 'Balcony', 'Sofa', 'Power Backup']"
 House for Sale,"Hattiban, Lalitpur",Rs. 3.25 Cr ,3.3 aana,,15 Feet,North-East,2.5,6.0,4.0,2077 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'MiCrowave', 'Power Backup']"
 House for Sale,"Hattiban, Lalitpur",Rs. 2.8 Cr ,3.1 aana,-1 Sq. Ft.,13 Feet,South-West,2.0,5.0,4.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Closet', 'Modular Kitchen', 'MiCrowave']"
 House for Sale,"Imadol, Lalitpur",Rs. 3.1 Cr ,3.2 aana,,12 Feet,West,3.0,6.0,4.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Modular Kitchen']"
